location,area_sqft,resale,no_of_bedrooms,nearby_school_1km,nearby_hospital_1km,nearby_mall_1km,nearby_gym_1km,swimmingpool,rainwaterharvesting,sportsfacility,powerbackup,carparking,childrens_playarea,liftavailable,price
perumbakkam,920,0,2,0,0,0,1,0,0,0,1,0,0,1,2142000.0
kelambakkam,612,0,1,0,0,0,1,0,0,0,1,0,0,1,21000000.0
anna nagar,2062,1,2,0,0,0,1,0,0,0,1,0,0,1,7800000.0
thoraipakkam,1300,1,3,0,0,0,1,0,0,0,1,0,0,1,35000000.0
anna nagar,2030,1,3,0,0,0,1,0,0,0,1,0,0,1,2334000.0
thalambur,753,0,2,0,0,0,1,0,0,0,1,0,0,1,4920000.0
perumbakkam,1245,0,3,0,0,0,1,0,0,0,1,0,0,1,15000000.0
thoraipakkam,1575,0,2,0,0,0,1,0,0,0,1,0,0,1,17900000.0
thoraipakkam,1788,0,3,0,0,0,1,0,0,0,1,0,0,1,4819000.0
perumbakkam,967,0,2,0,0,0,1,0,0,0,1,0,0,1,5420000.0
perumbakkam,1207,0,3,0,0,0,1,0,0,0,1,0,0,1,5956000.0
pallikaranai,1254,0,2,0,0,0,1,0,0,0,1,0,0,1,9130000.0
pallikaranai,1922,0,3,0,0,0,1,0,0,0,1,0,0,1,3843000.0
thalambur,1220,0,3,0,0,0,1,0,0,0,1,0,0,1,7134000.0
kelambakkam,1710,0,3,0,0,0,1,0,0,0,1,0,0,1,7579000.0
iyyappanthangal,1166,0,2,0,0,0,1,0,0,0,1,0,0,1,43200000.0
nungambakkam,2056,0,3,0,0,0,1,0,0,0,1,0,0,1,11900000.0
iyyappanthangal,1825,0,3,0,0,0,1,0,0,0,1,0,0,1,4798000.0
perumbakkam,1263,0,3,0,0,0,1,0,0,0,1,0,0,1,8644000.0
velappanchavadi,1358,0,3,0,0,0,1,0,0,0,1,0,0,1,6389000.0
velappanchavadi,983,0,2,0,0,0,1,0,0,0,1,0,0,1,5265000.0
kattupakkam,1170,0,3,0,0,0,1,0,0,0,1,0,0,1,12000000.0
choolaimedu,1030,1,2,0,0,0,1,0,0,0,1,0,0,1,4635000.0
ambattur,872,0,2,0,0,0,1,0,0,0,1,0,0,1,3499000.0
madambakkam,775,0,2,0,0,0,1,0,0,0,1,0,0,1,3499000.0
madambakkam,775,0,2,0,0,0,1,0,0,0,1,0,0,1,7200000.0
madipakkam,1220,0,2,0,0,0,1,0,0,0,1,0,0,1,7400000.0
madipakkam,1310,0,3,0,0,0,1,0,0,0,1,0,0,1,6018000.0
madipakkam,1020,0,2,0,0,0,1,0,0,0,1,0,0,1,9738000.0
madipakkam,1855,0,3,0,0,0,1,0,0,0,1,0,0,1,4800000.0
guduvancheri,1053,0,2,0,0,0,1,0,0,0,1,0,0,1,5800000.0
guduvancheri,1090,0,3,0,0,0,1,0,0,0,1,0,0,1,6200000.0
guduvancheri,1170,0,3,0,0,0,1,0,0,0,1,0,0,1,4700000.0
guduvancheri,976,0,3,0,0,0,1,0,0,0,1,0,0,1,4600000.0
guduvancheri,952,0,3,0,0,0,1,0,0,0,1,0,0,1,4000000.0
sunnambu kolathur,800,0,2,0,0,0,1,0,0,0,1,0,0,1,4125000.0
sunnambu kolathur,825,0,2,0,0,0,1,0,0,0,1,0,0,1,3881000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,5808000.0
ambattur,939,0,2,0,0,0,1,0,0,0,1,0,0,1,5808000.0
ambattur,872,0,2,0,0,0,1,0,0,0,1,0,0,1,3000000.0
perumbakkam,855,0,2,0,0,0,1,0,0,0,1,0,0,1,6800000.0
velachery,1158,0,3,0,0,0,1,0,0,0,1,0,0,1,4587000.0
kattupakkam,976,0,2,0,0,0,1,0,0,0,1,0,0,1,4864000.0
kattupakkam,1035,0,2,0,0,0,1,0,0,0,1,0,0,1,2486000.0
kattupakkam,529,0,1,0,0,0,1,0,0,0,1,0,0,1,4573000.0
kattupakkam,973,0,2,0,0,0,1,0,0,0,1,0,0,1,6770999.0
mogappair,1110,0,3,0,0,0,1,0,0,0,1,0,0,1,5734000.0
mogappair,925,0,2,0,0,0,1,0,0,0,1,0,0,1,7436000.0
manapakkam,1352,0,3,0,0,0,1,0,0,0,1,0,0,1,6913000.0
manapakkam,1257,0,2,0,0,0,1,0,0,0,1,0,0,1,8540000.0
mogappair,1400,0,3,0,0,0,1,0,0,0,1,0,0,1,5692000.0
manapakkam,1035,0,2,0,0,0,1,0,0,0,1,0,0,1,2740000.0
thiruverkadu,563,0,1,0,0,0,1,0,0,0,1,0,0,1,6343000.0
thiruverkadu,1337,0,3,0,0,0,1,0,0,0,1,0,0,1,5542000.0
thiruverkadu,1165,0,2,0,0,0,1,0,0,0,1,0,0,1,5555000.0
mugalivakkam,1010,0,2,0,0,0,1,0,0,0,1,0,0,1,5519000.0
thiruverkadu,1160,0,2,0,0,0,1,0,0,0,1,0,0,1,11500000.0
mugalivakkam,2096,0,4,0,0,0,1,0,0,0,1,0,0,1,2777000.0
thiruverkadu,571,0,1,0,0,0,1,0,0,0,1,0,0,1,8563000.0
mugalivakkam,1557,0,3,0,0,0,1,0,0,0,1,0,0,1,4793000.0
thiruverkadu,1004,0,2,0,0,0,1,0,0,0,1,0,0,1,2763000.0
thiruverkadu,568,0,1,0,0,0,1,0,0,0,1,0,0,1,9226000.0
mugalivakkam,1633,0,3,0,0,0,1,0,0,0,1,0,0,1,2703000.0
thiruverkadu,555,0,1,0,0,0,1,0,0,0,1,0,0,1,5630000.0
thiruverkadu,1184,0,2,0,0,0,1,0,0,0,1,0,0,1,5756000.0
thiruverkadu,1211,0,2,0,0,0,1,0,0,0,1,0,0,1,2726000.0
thiruverkadu,560,0,1,0,0,0,1,0,0,0,1,0,0,1,8227000.0
karapakkam,1307,0,3,0,0,0,1,0,0,0,1,0,0,1,3306000.0
karapakkam,538,0,1,0,0,0,1,0,0,0,1,0,0,1,8270999.0
karapakkam,1314,0,3,0,0,0,1,0,0,0,1,0,0,1,6567000.0
karapakkam,1027,0,2,0,0,0,1,0,0,0,1,0,0,1,8548000.0
karapakkam,1358,0,3,0,0,0,1,0,0,0,1,0,0,1,6548000.0
karapakkam,1024,0,2,0,0,0,1,0,0,0,1,0,0,1,16900000.0
karapakkam,2686,0,4,0,0,0,1,0,0,0,1,0,0,1,9826000.0
karapakkam,1561,0,3,0,0,0,1,0,0,0,1,0,0,1,8158000.0
karapakkam,1296,0,3,0,0,0,1,0,0,0,1,0,0,1,9857000.0
karapakkam,1566,0,3,0,0,0,1,0,0,0,1,0,0,1,11500000.0
karapakkam,1829,0,3,0,0,0,1,0,0,0,1,0,0,1,9845000.0
karapakkam,1564,0,3,0,0,0,1,0,0,0,1,0,0,1,12200000.0
karapakkam,1944,0,3,0,0,0,1,0,0,0,1,0,0,1,16600000.0
karapakkam,2640,0,4,0,0,0,1,0,0,0,1,0,0,1,3372999.0
karapakkam,549,0,1,0,0,0,1,0,0,0,1,0,0,1,16500000.0
karapakkam,2630,0,4,0,0,0,1,0,0,0,1,0,0,1,16399999.0
karapakkam,2616,0,4,0,0,0,1,0,0,0,1,0,0,1,10000000.0
karapakkam,1599,0,3,0,0,0,1,0,0,0,1,0,0,1,8029000.0
thalambur,2140,0,4,0,0,0,1,0,0,0,1,0,0,1,6380000.0
thalambur,1702,0,3,0,0,0,1,0,0,0,1,0,0,1,4659000.0
thalambur,1277,0,3,0,0,0,1,0,0,0,1,0,0,1,4699000.0
thalambur,1288,0,3,0,0,0,1,0,0,0,1,0,0,1,4260000.0
thalambur,1166,0,2,0,0,0,1,0,0,0,1,0,0,1,8048999.0
thalambur,2146,0,4,0,0,0,1,0,0,0,1,0,0,1,6360000.0
thalambur,1697,0,3,0,0,0,1,0,0,0,1,0,0,1,5808000.0
ambattur,872,0,2,0,0,0,1,0,0,0,1,0,0,1,6700000.0
iyyappanthangal,1123,0,2,0,0,0,1,0,0,0,1,0,0,1,6700000.0
iyyappanthangal,1123,0,2,0,0,0,1,0,0,0,1,0,0,1,5200000.0
kovilambakkam,811,0,2,0,0,0,1,0,0,0,1,0,0,1,3432000.0
ullagaram,722,0,2,0,0,0,1,0,0,0,1,0,0,1,4171000.0
nanmangalam,869,0,2,0,0,0,1,0,0,0,1,0,0,1,3789000.0
vellakkal,815,0,2,0,0,0,1,0,0,0,1,0,0,1,3789000.0
vellakkal,815,0,2,0,0,0,1,0,0,0,1,0,0,1,5412000.0
nanmangalam,984,0,2,0,0,0,1,0,0,0,1,0,0,1,4248000.0
nanmangalam,817,0,2,0,0,0,1,0,0,0,1,0,0,1,4040999.0
nanmangalam,898,0,2,0,0,0,1,0,0,0,1,0,0,1,4040999.0
nanmangalam,898,0,2,0,0,0,1,0,0,0,1,0,0,1,4694000.0
nanmangalam,978,0,2,0,0,0,1,0,0,0,1,0,0,1,4344000.0
nanmangalam,905,0,2,0,0,0,1,0,0,0,1,0,0,1,4344000.0
nanmangalam,905,0,2,0,0,0,1,0,0,0,1,0,0,1,4536000.0
nanmangalam,945,0,2,0,0,0,1,0,0,0,1,0,0,1,4536000.0
nanmangalam,945,0,2,0,0,0,1,0,0,0,1,0,0,1,3321000.0
nanmangalam,738,0,2,0,0,0,1,0,0,0,1,0,0,1,3474000.0
nanmangalam,772,0,2,0,0,0,1,0,0,0,1,0,0,1,3321000.0
nanmangalam,738,0,2,0,0,0,1,0,0,0,1,0,0,1,3461000.0
ullagaram,721,0,2,0,0,0,1,0,0,0,1,0,0,1,5808000.0
ambattur,939,0,2,0,0,0,1,0,0,0,1,0,0,1,3945000.0
nanmangalam,822,0,2,0,0,0,1,0,0,0,1,0,0,1,3782000.0
nanmangalam,788,0,2,0,0,0,1,0,0,0,1,0,0,1,4314000.0
avadi,915,0,2,0,0,0,1,0,0,0,1,0,0,1,3974000.0
avadi,840,0,2,0,0,0,1,0,0,0,1,0,0,1,3906000.0
avadi,825,0,2,0,0,0,1,0,0,0,1,0,0,1,4314000.0
avadi,915,0,2,0,0,0,1,0,0,0,1,0,0,1,3838000.0
avadi,810,0,2,0,0,0,1,0,0,0,1,0,0,1,4292000.0
avadi,910,0,2,0,0,0,1,0,0,0,1,0,0,1,5112000.0
nanmangalam,1065,0,2,0,0,0,1,0,0,0,1,0,0,1,3653000.0
avadi,840,0,2,0,0,0,1,0,0,0,1,0,0,1,3653000.0
avadi,840,0,2,0,0,0,1,0,0,0,1,0,0,1,3724000.0
nanmangalam,776,0,2,0,0,0,1,0,0,0,1,0,0,1,5270000.0
nanmangalam,1098,0,3,0,0,0,1,0,0,0,1,0,0,1,8900000.0
siruseri,1655,0,2,0,0,0,1,0,0,0,1,0,0,1,3000000.0
thiruverkadu,700,0,2,0,0,0,1,0,0,0,1,0,0,1,8214000.0
korattur,1439,0,3,0,0,0,1,0,0,0,1,0,0,1,3893000.0
korattur,614,0,2,0,0,0,1,0,0,0,1,0,0,1,10700000.0
korattur,1909,0,4,0,0,0,1,0,0,0,1,0,0,1,3420000.0
nanmangalam,760,0,2,0,0,0,1,0,0,0,1,0,0,1,4238000.0
nanmangalam,831,0,2,0,0,0,1,0,0,0,1,0,0,1,3709000.0
padur,845,0,2,0,0,0,1,0,0,0,1,0,0,1,3400000.0
perumbakkam,855,0,2,0,0,0,1,0,0,0,1,0,0,1,3881000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,6659999.0
ayanambakkam,1131,0,2,0,0,0,1,0,0,0,1,0,0,1,7753000.0
sholinganallur,1551,0,3,0,0,0,1,0,0,0,1,0,0,1,7458000.0
sholinganallur,1492,0,3,0,0,0,1,0,0,0,1,0,0,1,8113000.0
sholinganallur,1623,0,3,0,0,0,1,0,0,0,1,0,0,1,10700000.0
sholinganallur,2154,0,4,0,0,0,1,0,0,0,1,0,0,1,7968000.0
sholinganallur,1594,0,3,0,0,0,1,0,0,0,1,0,0,1,9100000.0
nanganallur,901,0,2,0,0,0,1,0,0,0,1,0,0,1,3892000.0
nanmangalam,772,0,2,0,0,0,1,0,0,0,1,0,0,1,3721000.0
nanmangalam,768,0,2,0,0,0,1,0,0,0,1,0,0,1,3761999.0
nanmangalam,836,0,2,0,0,0,1,0,0,0,1,0,0,1,5366000.0
nanmangalam,1118,0,3,0,0,0,1,0,0,0,1,0,0,1,4139000.0
nanmangalam,881,0,2,0,0,0,1,0,0,0,1,0,0,1,3436999.0
nanmangalam,763,0,2,0,0,0,1,0,0,0,1,0,0,1,11000000.0
velachery,1450,1,3,0,0,0,1,0,0,0,1,0,0,1,7000000.0
velachery,1070,1,2,0,0,0,1,0,0,0,1,0,0,1,12500000.0
thiruvanmiyur,1050,1,2,0,0,0,1,0,0,0,1,0,0,1,17000000.0
adyar,1450,1,3,0,0,0,1,0,0,0,1,0,0,1,3100000.0
poonamallee,702,0,2,0,0,0,1,0,0,0,1,0,0,1,30000000.0
triplicane,3000,1,2,0,0,0,1,0,0,0,1,0,0,1,4635000.0
ambattur,872,0,2,0,0,0,1,0,0,0,1,0,0,1,5808000.0
ambattur,939,0,2,0,0,0,1,0,0,0,1,0,0,1,3924000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,9068000.0
mogappair,1110,0,3,0,0,0,1,0,0,0,1,0,0,1,2700000.0
kelambakkam,626,0,2,0,0,0,1,0,0,0,1,0,0,1,5700000.0
padur,1147,0,2,0,0,0,1,0,0,0,1,0,0,1,9500000.0
navallur,2020,0,4,0,0,0,1,0,0,0,1,0,0,1,7800000.0
navallur,1699,0,3,0,0,0,1,0,0,0,1,0,0,1,3881000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,5506000.0
ambattur,927,0,2,0,0,0,1,0,0,0,1,0,0,1,3924000.0
ambattur,872,0,2,0,0,0,1,0,0,0,1,0,0,1,3924000.0
ambattur,872,0,2,0,0,0,1,0,0,0,1,0,0,1,7900000.0
padur,1441,0,2,0,0,0,1,0,0,0,1,0,0,1,5737000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,3986999.0
ambattur,886,0,2,0,0,0,1,0,0,0,1,0,0,1,3621000.0
kelambakkam,1050,0,2,0,0,0,1,0,0,0,1,0,0,1,3428000.0
kelambakkam,994,0,2,0,0,0,1,0,0,0,1,0,0,1,4352000.0
kelambakkam,1262,0,3,0,0,0,1,0,0,0,1,0,0,1,4604000.0
kelambakkam,1335,0,3,0,0,0,1,0,0,0,1,0,0,1,8400000.0
navallur,1504,0,3,0,0,0,1,0,0,0,1,0,0,1,11500000.0
navallur,1158,0,2,0,0,0,1,0,0,0,1,0,0,1,6312000.0
navallur,1058,0,2,0,0,0,1,0,0,0,1,0,0,1,10300000.0
navallur,1699,0,3,0,0,0,1,0,0,0,1,0,0,1,2899000.0
poonamallee,745,1,2,0,0,0,1,0,0,0,1,0,0,1,7800000.0
vengaivasal,1234,0,2,0,0,0,1,0,0,0,1,0,0,1,3300000.0
perumbakkam,855,0,2,0,0,0,1,0,0,0,1,0,0,1,12500000.0
thiruvanmiyur,1060,1,2,0,0,0,1,0,0,0,1,0,0,1,3244000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,4999000.0
kovilambakkam,1005,0,3,0,0,0,1,0,0,0,1,0,0,1,3027000.0
tiruporur,865,0,2,0,0,0,1,0,0,0,1,0,0,1,17000000.0
adyar,2000,1,3,0,0,0,1,0,0,0,1,0,0,1,4605000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,29200000.0
kanathur reddikuppam,5037,0,5,0,0,0,1,0,0,0,1,0,0,1,8763000.0
kanathur reddikuppam,5093,0,5,0,0,0,1,0,0,0,1,0,0,1,4999000.0
kanathur reddikuppam,1865,0,3,0,0,0,1,0,0,0,1,0,0,1,3750000.0
medavakkam,930,0,2,0,0,0,1,0,0,0,1,0,0,1,5821000.0
medavakkam,775,0,2,0,0,0,1,0,0,0,1,0,0,1,5659000.0
ambattur,1294,0,3,0,0,0,1,0,0,0,1,0,0,1,3115000.0
pallavaram,1068,0,2,0,0,0,1,0,0,0,1,0,0,1,12600000.0
pallavaram,588,0,2,0,0,0,1,0,0,0,1,0,0,1,3700000.0
mogappair,1978,0,3,0,0,0,1,0,0,0,1,0,0,1,5654000.0
avadi,850,0,2,0,0,0,1,0,0,0,1,0,0,1,3700000.0
perumbakkam,1414,0,3,0,0,0,1,0,0,0,1,0,0,1,7492000.0
avadi,850,0,2,0,0,0,1,0,0,0,1,0,0,1,2000000.0
velappanchavadi,1414,0,3,0,0,0,1,0,0,0,1,0,0,1,3600000.0
avadi,463,0,1,0,0,0,1,0,0,0,1,0,0,1,7195999.0
avadi,850,0,2,0,0,0,1,0,0,0,1,0,0,1,3244000.0
velappanchavadi,1358,0,3,0,0,0,1,0,0,0,1,0,0,1,5892000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,12000000.0
velappanchavadi,1112,0,2,0,0,0,1,0,0,0,1,0,0,1,12000000.0
adyar,1200,1,3,0,0,0,1,0,0,0,1,0,0,1,5426000.0
adyar,1200,1,3,0,0,0,1,0,0,0,1,0,0,1,4882000.0
velappanchavadi,1024,0,2,0,0,0,1,0,0,0,1,0,0,1,4820000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,5263000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,2059000.0
agaramthen,1462,0,3,0,0,0,1,0,0,0,1,0,0,1,3244000.0
agaramthen,572,0,1,0,0,0,1,0,0,0,1,0,0,1,5858000.0
kovur,1160,0,2,0,0,0,1,0,0,0,1,0,0,1,8941000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,4757000.0
padi,1374,0,3,0,0,0,1,0,0,0,1,0,0,1,4051000.0
manikandan nagar,865,0,2,0,0,0,1,0,0,0,1,0,0,1,4449000.0
kovilambakkam,719,0,2,0,0,0,1,0,0,0,1,0,0,1,6616000.0
kovilambakkam,809,0,2,0,0,0,1,0,0,0,1,0,0,1,6616000.0
kovilambakkam,1203,0,3,0,0,0,1,0,0,0,1,0,0,1,4190000.0
kovilambakkam,1203,0,3,0,0,0,1,0,0,0,1,0,0,1,11000000.0
manikandan nagar,764,0,2,0,0,0,1,0,0,0,1,0,0,1,7300000.0
mugalivakkam,1775,1,3,0,0,0,1,0,0,0,1,0,0,1,7300000.0
guduvancheri,1466,0,3,0,0,0,1,0,0,0,1,0,0,1,3800000.0
guduvancheri,1466,0,3,0,0,0,1,0,0,0,1,0,0,1,3881000.0
perumbakkam,790,0,2,0,0,0,1,0,0,0,1,0,0,1,3881000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,2781000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,4610000.0
kovur,618,0,1,0,0,0,1,0,0,0,1,0,0,1,3475000.0
kovur,913,0,2,0,0,0,1,0,0,0,1,0,0,1,3934000.0
selaiyur,931,0,2,0,0,0,1,0,0,0,1,0,0,1,9643000.0
korattur,622,0,2,0,0,0,1,0,0,0,1,0,0,1,6618000.0
korattur,1691,0,3,0,0,0,1,0,0,0,1,0,0,1,9165000.0
korattur,1138,0,2,0,0,0,1,0,0,0,1,0,0,1,5004000.0
thoraipakkam,1222,0,2,0,0,0,1,0,0,0,1,0,0,1,6700000.0
kelambakkam,1044,0,2,0,0,0,1,0,0,0,1,0,0,1,3244000.0
porur,1123,0,2,0,0,0,1,0,0,0,1,0,0,1,7336000.0
ambattur,721,0,2,0,0,0,1,0,0,0,1,0,0,1,7213000.0
madipakkam,1310,0,2,0,0,0,1,0,0,0,1,0,0,1,12000000.0
perungudi,1173,0,2,0,0,0,1,0,0,0,1,0,0,1,11100000.0
thoraipakkam,1613,0,3,0,0,0,1,0,0,0,1,0,0,1,9165000.0
thoraipakkam,1493,0,2,0,0,0,1,0,0,0,1,0,0,1,5004000.0
thoraipakkam,1222,0,2,0,0,0,1,0,0,0,1,0,0,1,3965999.0
kelambakkam,1044,0,2,0,0,0,1,0,0,0,1,0,0,1,16100000.0
kelambakkam,1044,0,2,0,0,0,1,0,0,0,1,0,0,1,14300000.0
thoraipakkam,2153,0,4,0,0,0,1,0,0,0,1,0,0,1,3499000.0
thoraipakkam,1912,0,3,0,0,0,1,0,0,0,1,0,0,1,6767000.0
selaiyur,828,1,2,0,0,0,1,0,0,0,1,0,0,1,5045000.0
kovur,1340,0,3,0,0,0,1,0,0,0,1,0,0,1,6659999.0
kilkattalai,869,0,2,0,0,0,1,0,0,0,1,0,0,1,5060000.0
kilkattalai,1110,0,3,0,0,0,1,0,0,0,1,0,0,1,6312000.0
kilkattalai,920,0,2,0,0,0,1,0,0,0,1,0,0,1,5325000.0
kilkattalai,1052,0,2,0,0,0,1,0,0,0,1,0,0,1,5325000.0
kilkattalai,945,0,2,0,0,0,1,0,0,0,1,0,0,1,4794000.0
kilkattalai,945,0,2,0,0,0,1,0,0,0,1,0,0,1,3790999.0
kelambakkam,1262,0,3,0,0,0,1,0,0,0,1,0,0,1,3244000.0
kelambakkam,998,0,2,0,0,0,1,0,0,0,1,0,0,1,4400000.0
sithalapakkam,1100,0,3,0,0,0,1,0,0,0,1,0,0,1,4383000.0
ambattur,927,0,2,0,0,0,1,0,0,0,1,0,0,1,5405000.0
medavakkam,974,0,2,0,0,0,1,0,0,0,1,0,0,1,4233000.0
medavakkam,1150,0,3,0,0,0,1,0,0,0,1,0,0,1,4795000.0
medavakkam,882,0,2,0,0,0,1,0,0,0,1,0,0,1,4085000.0
medavakkam,999,0,2,0,0,0,1,0,0,0,1,0,0,1,4124000.0
medavakkam,817,0,2,0,0,0,1,0,0,0,1,0,0,1,5389000.0
medavakkam,887,0,2,0,0,0,1,0,0,0,1,0,0,1,5295000.0
medavakkam,1159,0,2,0,0,0,1,0,0,0,1,0,0,1,5562000.0
medavakkam,929,0,2,0,0,0,1,0,0,0,1,0,0,1,2788000.0
medavakkam,1181,0,3,0,0,0,1,0,0,0,1,0,0,1,2788000.0
medavakkam,464,0,1,0,0,0,1,0,0,0,1,0,0,1,5335000.0
medavakkam,464,0,1,0,0,0,1,0,0,0,1,0,0,1,5334000.0
kilkattalai,970,0,2,0,0,0,1,0,0,0,1,0,0,1,5334000.0
kilkattalai,970,0,2,0,0,0,1,0,0,0,1,0,0,1,3800000.0
kilkattalai,970,0,2,0,0,0,1,0,0,0,1,0,0,1,6800000.0
perumbakkam,790,0,2,0,0,0,1,0,0,0,1,0,0,1,5300000.0
iyyappanthangal,1153,0,2,0,0,0,1,0,0,0,1,0,0,1,3892000.0
kovilambakkam,830,0,1,0,0,0,1,0,0,0,1,0,0,1,11000000.0
padur,857,0,1,0,0,0,1,0,0,0,1,0,0,1,14500000.0
thiruvanmiyur,1200,1,3,0,0,0,1,0,0,0,1,0,0,1,3013000.0
thoraipakkam,1700,1,3,0,0,0,1,0,0,0,1,0,0,1,3129000.0
guduvancheri,861,0,2,0,0,0,1,0,0,0,1,0,0,1,3153000.0
guduvancheri,894,0,2,0,0,0,1,0,0,0,1,0,0,1,3500000.0
guduvancheri,901,0,2,0,0,0,1,0,0,0,1,0,0,1,3500000.0
guduvancheri,1000,0,2,0,0,0,1,0,0,0,1,0,0,1,4791000.0
guduvancheri,1000,0,2,0,0,0,1,0,0,0,1,0,0,1,3536000.0
sembakkam,848,0,2,0,0,0,1,0,0,0,1,0,0,1,2118000.0
selaiyur,943,0,2,0,0,0,1,0,0,0,1,0,0,1,3150000.0
selaiyur,565,0,1,0,0,0,1,0,0,0,1,0,0,1,2988000.0
selaiyur,840,0,2,0,0,0,1,0,0,0,1,0,0,1,6720000.0
selaiyur,797,0,2,0,0,0,1,0,0,0,1,0,0,1,4513000.0
chromepet,1120,0,3,0,0,0,1,0,0,0,1,0,0,1,3490999.0
chromepet,868,0,2,0,0,0,1,0,0,0,1,0,0,1,3285000.0
selaiyur,930,0,2,0,0,0,1,0,0,0,1,0,0,1,16500000.0
selaiyur,876,0,2,0,0,0,1,0,0,0,1,0,0,1,4829000.0
thiruverkadu,1610,1,3,0,0,0,1,0,0,0,1,0,0,1,16500000.0
vengambakkam,1271,0,3,0,0,0,1,0,0,0,1,0,0,1,8200000.0
pallikaranai,2691,0,4,0,0,0,1,0,0,0,1,0,0,1,24200000.0
pallikaranai,1255,0,2,0,0,0,1,0,0,0,1,0,0,1,24600000.0
thiruvanmiyur,1938,0,3,0,0,0,1,0,0,0,1,0,0,1,23300000.0
thiruvanmiyur,1970,0,3,0,0,0,1,0,0,0,1,0,0,1,17800000.0
thiruvanmiyur,1871,0,3,0,0,0,1,0,0,0,1,0,0,1,22799999.0
thiruvanmiyur,1431,0,2,0,0,0,1,0,0,0,1,0,0,1,16500000.0
thiruvanmiyur,1831,0,3,0,0,0,1,0,0,0,1,0,0,1,4829000.0
thiruverkadu,1610,1,3,0,0,0,1,0,0,0,1,0,0,1,3188000.0
vengambakkam,1271,0,3,0,0,0,1,0,0,0,1,0,0,1,2572000.0
vengambakkam,839,0,2,0,0,0,1,0,0,0,1,0,0,1,6655000.0
vengambakkam,677,0,1,0,0,0,1,0,0,0,1,0,0,1,5050000.0
selaiyur,1331,0,3,0,0,0,1,0,0,0,1,0,0,1,4605000.0
selaiyur,970,0,2,0,0,0,1,0,0,0,1,0,0,1,2650000.0
selaiyur,881,0,2,0,0,0,1,0,0,0,1,0,0,1,6096000.0
selaiyur,531,0,1,0,0,0,1,0,0,0,1,0,0,1,5108000.0
madambakkam,1183,0,3,0,0,0,1,0,0,0,1,0,0,1,4810000.0
madambakkam,961,0,2,0,0,0,1,0,0,0,1,0,0,1,4469000.0
madambakkam,900,0,2,0,0,0,1,0,0,0,1,0,0,1,4963000.0
madambakkam,851,0,2,0,0,0,1,0,0,0,1,0,0,1,4728000.0
madambakkam,1201,0,3,0,0,0,1,0,0,0,1,0,0,1,3719000.0
madambakkam,1139,0,3,0,0,0,1,0,0,0,1,0,0,1,6884999.0
madambakkam,864,0,2,0,0,0,1,0,0,0,1,0,0,1,6258000.0
rajakilpakkam,1275,0,3,0,0,0,1,0,0,0,1,0,0,1,5076000.0
rajakilpakkam,1159,0,3,0,0,0,1,0,0,0,1,0,0,1,4692000.0
rajakilpakkam,940,0,2,0,0,0,1,0,0,0,1,0,0,1,4325000.0
rajakilpakkam,869,0,2,0,0,0,1,0,0,0,1,0,0,1,6385000.0
rajakilpakkam,801,0,2,0,0,0,1,0,0,0,1,0,0,1,6011000.0
sembakkam,1161,0,3,0,0,0,1,0,0,0,1,0,0,1,6011000.0
sembakkam,1093,0,3,0,0,0,1,0,0,0,1,0,0,1,5027000.0
sembakkam,931,0,2,0,0,0,1,0,0,0,1,0,0,1,3667000.0
sembakkam,931,0,2,0,0,0,1,0,0,0,1,0,0,1,3021000.0
madambakkam,965,0,2,0,0,0,1,0,0,0,1,0,0,1,2382000.0
madambakkam,795,0,2,0,0,0,1,0,0,0,1,0,0,1,3700000.0
agaramthen,627,0,1,0,0,0,1,0,0,0,1,0,0,1,3650000.0
avadi,850,0,2,0,0,0,1,0,0,0,1,0,0,1,3600000.0
avadi,850,0,2,0,0,0,1,0,0,0,1,0,0,1,42699999.0
avadi,850,0,2,0,0,0,1,0,0,0,1,0,0,1,39800000.0
egmore,3055,0,4,0,0,0,1,0,0,0,1,0,0,1,3650000.0
egmore,2655,0,4,0,0,0,1,0,0,0,1,0,0,1,3600000.0
egmore,3055,0,4,0,0,0,1,0,0,0,1,0,0,1,29600000.0
egmore,2655,0,4,0,0,0,1,0,0,0,1,0,0,1,21200000.0
egmore,1975,0,3,0,0,0,1,0,0,0,1,0,0,1,42600000.0
egmore,1415,0,3,0,0,0,1,0,0,0,1,0,0,1,18500000.0
egmore,2840,0,4,0,0,0,1,0,0,0,1,0,0,1,38300000.0
egmore,1325,0,2,0,0,0,1,0,0,0,1,0,0,1,24900000.0
